Date,Sales
2023-01-01,89
2023-01-02,132
2023-01-03,164
2023-01-04,139
2023-01-05,92
2023-01-06,147
2023-01-07,73
2023-01-08,119
2023-01-09,138
2023-01-10,145
2023-01-11,190
2023-01-12,111
2023-01-13,179
2023-01-14,71
2023-01-15,147
2023-01-16,153
2023-01-17,54
2023-01-18,166
2023-01-19,189
2023-01-20,96
2023-01-21,106
2023-01-22,52
2023-01-23,102
2023-01-24,107
2023-01-25,154
2023-01-26,68
2023-01-27,55
2023-01-28,117
2023-01-29,196
2023-01-30,90
2023-01-31,113
2023-02-01,135
2023-02-02,124
2023-02-03,82
2023-02-04,128
2023-02-05,102
2023-02-06,115
2023-02-07,94
2023-02-08,186
2023-02-09,84
2023-02-10,158
2023-02-11,131
2023-02-12,51
2023-02-13,120
2023-02-14,52
2023-02-15,99
2023-02-16,105
2023-02-17,123
2023-02-18,190
2023-02-19,110
2023-02-20,138
2023-02-21,77
2023-02-22,148
2023-02-23,94
2023-02-24,156
2023-02-25,51
2023-02-26,141
2023-02-27,176
2023-02-28,157
2023-03-01,50
2023-03-02,99
2023-03-03,115
2023-03-04,58
2023-03-05,164
2023-03-06,95
2023-03-07,167
2023-03-08,59
2023-03-09,141
2023-03-10,199
2023-03-11,164
2023-03-12,151
2023-03-13,144
2023-03-14,69
2023-03-15,121
2023-03-16,163
2023-03-17,53
2023-03-18,118
2023-03-19,53
2023-03-20,58
2023-03-21,90
2023-03-22,147
2023-03-23,156
2023-03-24,97
2023-03-25,144
2023-03-26,63
2023-03-27,72
2023-03-28,96
2023-03-29,124
2023-03-30,198
2023-03-31,115
2023-04-01,161
2023-04-02,171
2023-04-03,152
2023-04-04,73
2023-04-05,112
2023-04-06,118
2023-04-07,140
2023-04-08,112
2023-04-09,160
2023-04-10,58
